CYCLE,ROM_VAL,IR,D,BUS,ALU,AC,RAM_ADDR,JMP,ROM_ADDR,
000,8018,00011000,10000000,00000000,00000000,00000000,0000000000000000,0,0000000000000010,
001,c018,00011000,11000000,10000000,10000000,00000000,0000000010000000,0,0000000000000011,
002,7fc1,11000001,01111111,11000000,11000000,00000000,0000000011000000,0,0000000000000100,
003,7cc1,11000001,01111100,01100000,00000000,00000000,0000000001111111,0,0000000000000101,
004,0100,00000000,00000001,01100000,00000000,00000000,0000000001111100,0,0000000000000110,
005,01d6,11010110,00000001,00000001,00000001,00000001,0000000000000001,0,0000000000000111,
006,ff00,00000000,11111111,00000001,00000001,00000001,0000000000000001,0,0000000000001000,
007,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001001,
008,00ca,11001010,00000000,10100100,01011011,01011011,0000000100000000,0,0000000000001010,
009,00c2,11000010,00000000,01011011,01011011,01011011,0000000100000000,0,0000000000001011,
010,0069,01101001,00000000,01011011,01011011,01011011,0000000000000000,0,0000000000001100,
011,0cec,11101100,00001100,01011011,00000000,00000000,0000000100000000,0,0000000000001101,
012,ff00,00000000,11111111,00001100,00000000,00000000,0000000000001100,1,0000000000001110,
013,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001111,
014,00ca,11001010,00000000,01011011,10100100,10100100,0000000100000000,0,0000000000010000,
015,0061,01100001,00000000,10100100,10100100,10100100,0000000100000000,0,0000000000010001,
016,15f0,11110000,00010101,01011011,11111111,11111111,0000000000000000,0,0000000000010010,
017,0101,00000001,00000001,00010101,00000001,11111111,0000000000010101,1,0000000000010011,
018,06fc,11111100,00000110,00000001,00000001,00000001,0000000000000001,0,0000000000010100,
019,0082,10000010,00000000,00000110,11111111,00000001,0000000000000110,1,0000000000000110,
020,01d6,11010110,00000001,00000001,00000010,00000010,0000000000000000,0,0000000000000111,
021,ff00,00000000,11111111,00000010,00000010,00000010,0000000000000001,0,0000000000001000,
022,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001001,
023,00ca,11001010,00000000,00111000,11000111,11000111,0000001000000000,0,0000000000001010,
024,00c2,11000010,00000000,11000111,11000111,11000111,0000001000000000,0,0000000000001011,
025,0069,01101001,00000000,11000111,11000111,11000111,0000000000000000,0,0000000000001100,
026,0cec,11101100,00001100,11000111,00000000,00000000,0000001000000000,0,0000000000001101,
027,ff00,00000000,11111111,00001100,00000000,00000000,0000000000001100,1,0000000000001110,
028,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001111,
029,00ca,11001010,00000000,11000111,00111000,00111000,0000001000000000,0,0000000000010000,
030,0061,01100001,00000000,00111000,00111000,00111000,0000001000000000,0,0000000000010001,
031,15f0,11110000,00010101,11000111,11111111,11111111,0000000000000000,0,0000000000010010,
032,0101,00000001,00000001,00010101,00000001,11111111,0000000000010101,1,0000000000010011,
033,06fc,11111100,00000110,00000010,00000010,00000010,0000000000000001,0,0000000000010100,
034,0082,10000010,00000000,00000110,11111110,00000010,0000000000000110,1,0000000000000110,
035,01d6,11010110,00000001,00000010,00000100,00000100,0000000000000000,0,0000000000000111,
036,ff00,00000000,11111111,00000100,00000100,00000100,0000000000000001,0,0000000000001000,
037,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001001,
038,00ca,11001010,00000000,10101011,01010100,01010100,0000010000000000,0,0000000000001010,
039,00c2,11000010,00000000,01010100,01010100,01010100,0000010000000000,0,0000000000001011,
040,0069,01101001,00000000,01010100,01010100,01010100,0000000000000000,0,0000000000001100,
041,0cec,11101100,00001100,01010100,00000000,00000000,0000010000000000,0,0000000000001101,
042,ff00,00000000,11111111,00001100,00000000,00000000,0000000000001100,1,0000000000001110,
043,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001111,
044,00ca,11001010,00000000,01010100,10101011,10101011,0000010000000000,0,0000000000010000,
045,0061,01100001,00000000,10101011,10101011,10101011,0000010000000000,0,0000000000010001,
046,15f0,11110000,00010101,01010100,11111111,11111111,0000000000000000,0,0000000000010010,
047,0101,00000001,00000001,00010101,00000001,11111111,0000000000010101,1,0000000000010011,
048,06fc,11111100,00000110,00000100,00000100,00000100,0000000000000001,0,0000000000010100,
049,0082,10000010,00000000,00000110,11111100,00000100,0000000000000110,1,0000000000000110,
050,01d6,11010110,00000001,00000100,00001000,00001000,0000000000000000,0,0000000000000111,
051,ff00,00000000,11111111,00001000,00001000,00001000,0000000000000001,0,0000000000001000,
052,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001001,
053,00ca,11001010,00000000,11000001,00111110,00111110,0000100000000000,0,0000000000001010,
054,00c2,11000010,00000000,00111110,00111110,00111110,0000100000000000,0,0000000000001011,
055,0069,01101001,00000000,00111110,00111110,00111110,0000000000000000,0,0000000000001100,
056,0cec,11101100,00001100,00111110,00000000,00000000,0000100000000000,0,0000000000001101,
057,ff00,00000000,11111111,00001100,00000000,00000000,0000000000001100,1,0000000000001110,
058,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001111,
059,00ca,11001010,00000000,00111110,11000001,11000001,0000100000000000,0,0000000000010000,
060,0061,01100001,00000000,11000001,11000001,11000001,0000100000000000,0,0000000000010001,
061,15f0,11110000,00010101,00111110,11111111,11111111,0000000000000000,0,0000000000010010,
062,0101,00000001,00000001,00010101,00000001,11111111,0000000000010101,1,0000000000010011,
063,06fc,11111100,00000110,00001000,00001000,00001000,0000000000000001,0,0000000000010100,
064,0082,10000010,00000000,00000110,11111000,00001000,0000000000000110,1,0000000000000110,
065,01d6,11010110,00000001,00001000,00010000,00010000,0000000000000000,0,0000000000000111,
066,ff00,00000000,11111111,00010000,00010000,00010000,0000000000000001,0,0000000000001000,
067,0069,01101001,00000000,11111111,11111111,11111111,0000000011111111,0,0000000000001001,
068,00ca,11001010,00000000,10101101,01010010,01010010,0001000000000000,0,0000000000001010,
069,00c2,11000010,00000000,01010010,01010010,01010010,0001000000000000,0,0000000000001011,
070,0069,01101001,00000000,01010010,01010010,01010010,0000000000000000,0,0000000000001100,
071,0cec,11101100,00001100,01010010,00000000,00000000,0001000000000000,0,0000000000001101,
072,ff00,00000000,11111111,00001100,00000000,00000000,0000000000001100,1,0000000000001110,
